Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-04,Bihar,ginger,Ginger,108,124 - 137,130 - 178,1kg,resource/images/vegetables/ginger-64.png
2024-05-04,Bihar,oniongreen,Onion Green,45,52 - 57,54 - 74,1kg,resource/images/vegetables/oniongreen-64.png
2024-05-04,Bihar,greenpeas,Green Peas,42,48 - 53,50 - 69,1kg,resource/images/vegetables/greenpeas-64.png
2024-05-04,Bihar,ivygourd,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
2024-05-04,Bihar,lemon,Lemon (Lime),64,74 - 81,77 - 106,1kg,resource/images/vegetables/lemon-64.png
2024-05-04,Bihar,mangoraw,Mango Raw,32,37 - 41,38 - 53,1kg,resource/images/vegetables/mangoraw-64.png
2024-05-04,Bihar,mintleaves,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
2024-05-04,Bihar,mushroom,Mushroom,76,87 - 97,91 - 125,1kg,resource/images/vegetables/mushroom-64.png
2024-05-04,Bihar,mustardleaves,Mustard Leaves,17,20 - 22,20 - 28,1kg,resource/images/vegetables/mustardleaves-64.png
2024-05-04,Bihar,ladiesfinger,Ladies Finger,36,41 - 46,43 - 59,1kg,resource/images/vegetables/ladiesfinger-64.png
2024-05-04,Bihar,pumpkin,Pumpkin,18,21 - 23,22 - 30,1kg,resource/images/vegetables/pumpkin-64.png
2024-05-04,Bihar,radish,Radish,24,28 - 30,29 - 40,1kg,resource/images/vegetables/radish-64.png
2024-05-04,Bihar,ridgegourd,Ridge Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/ridgegourd-64.png
2024-05-04,Bihar,shallot,Shallot (Pearl Onion),36,41 - 46,43 - 59,1kg,resource/images/vegetables/shallot-64.png
2024-05-04,Bihar,snakegourd,Snake Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/snakegourd-64.png
2024-05-04,Bihar,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
2024-05-04,Bihar,spinach,Spinach,15,17 - 19,18 - 25,1kg,resource/images/vegetables/spinach-64.png
2024-05-04,Bihar,sweetpotato,Sweet Potato,37,43 - 47,44 - 61,1kg,resource/images/vegetables/sweetpotato-64.png
2024-05-05,Bihar,onionbig,Onion Big,26,30 - 33,31 - 43,1kg,resource/images/vegetables/onionbig-64.png
2024-05-05,Bihar,onionsmall,Onion Small,34,39 - 43,41 - 56,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-05,Bihar,tomato,Tomato,24,28 - 30,29 - 40,1kg,resource/images/vegetables/tomato-64.png
